seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,applied,skip_reason
1002,online_dqn,2,47,38,2,2,2,0.687679,0.233991,0.233991,0.000000,-5.628275,-5.553955,-2.961727,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.008568,0.008625,0.003409,0.000000,0,same_bs
1002,online_dqn,2,48,30,0,0,0,1.036269,0.233991,0.233991,0.000000,-1.299917,-3.304890,-6.407415,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.003409,0.003284,-0.001924,0.000000,0,same_bs
1002,online_dqn,2,49,14,0,0,0,1.036269,0.233991,0.233991,0.000000,-1.299917,-3.304890,-6.407415,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.003409,0.003284,-0.001924,0.000000,0,same_bs
1002,online_dqn,2,50,6,0,0,0,1.036269,0.233991,0.233991,0.000000,-1.299917,-3.304890,-6.407415,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.003409,0.003284,-0.001924,0.000000,0,same_bs
1002,online_dqn,2,51,48,0,0,0,1.036269,0.233991,0.233991,0.000000,-1.299917,-3.304890,-6.407415,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.003409,0.003284,-0.001924,0.000000,0,same_bs
1002,online_dqn,2,52,23,0,0,0,1.036269,0.233991,0.233991,0.000000,-1.299917,-3.304890,-6.407415,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.003409,0.003284,-0.001924,0.000000,0,same_bs
1002,online_dqn,2,53,44,0,0,0,1.169600,0.233991,0.233991,0.000000,-0.537611,-3.409242,-6.754825,1,29,23,28,96.500000,79.500000,58.166700,1.169077,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,54,55,0,0,0,1.169449,0.233991,0.233991,0.000000,-0.537683,-3.409204,-6.754820,1,29,23,28,96.500000,79.500000,58.166700,1.169096,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,55,31,0,0,0,1.169413,0.233991,0.233991,0.000000,-0.537701,-3.409194,-6.754819,1,29,23,28,96.500000,79.500000,58.166700,1.169101,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,56,62,0,0,0,1.169396,0.233991,0.233991,0.000000,-0.537708,-3.409190,-6.754818,1,29,23,28,96.500000,79.500000,58.166700,1.169103,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,57,49,0,0,0,1.169208,0.233991,0.233991,0.000000,-0.537800,-3.409143,-6.754811,1,29,23,28,96.500000,79.500000,58.166700,1.169126,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,58,69,0,0,0,1.169022,0.233991,0.233991,0.000000,-0.537889,-3.409095,-6.754806,1,29,23,28,96.500000,79.500000,58.166700,1.169149,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,59,18,0,0,0,1.168855,0.233991,0.233991,0.000000,-0.537971,-3.409054,-6.754799,1,29,23,28,96.500000,79.500000,58.166700,1.169170,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,60,71,0,0,0,1.168650,0.233991,0.233991,0.000000,-0.538070,-3.409002,-6.754791,1,29,23,28,96.500000,79.500000,58.166700,1.169196,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,61,42,0,0,0,1.168625,0.233991,0.233991,0.000000,-0.538082,-3.408996,-6.754791,1,29,23,28,96.500000,79.500000,58.166700,1.169199,1.051417,0.835201,0.003409,0.003076,-0.002431,0.000000,0,same_bs
1002,online_dqn,2,62,36,2,2,2,1.719197,0.233991,0.233991,0.000000,-5.633823,-5.508919,-2.993755,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.008992,0.008861,0.003409,0.000000,0,same_bs
1002,online_dqn,2,63,59,2,2,2,1.719197,0.233991,0.233991,0.000000,-5.633823,-5.508919,-2.993755,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.008992,0.008861,0.003409,0.000000,0,same_bs
1002,online_dqn,2,64,9,2,2,2,1.719197,0.233991,0.233991,0.000000,-5.633823,-5.508919,-2.993755,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.008992,0.008861,0.003409,0.000000,0,same_bs
1002,online_dqn,2,65,17,2,2,2,1.719197,0.233991,0.233991,0.000000,-5.633823,-5.508919,-2.993755,1,29,23,28,96.500000,79.500000,58.166700,1.036269,1.257862,1.719197,0.008992,0.008861,0.003409,0.000000,0,same_bs
1002,online_dqn,3,0,73,2,2,2,0.054508,0.224773,0.224773,0.000000,-5.429179,-5.721478,-2.952648,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054792,0.020633,0.019515,0.003224,0.000000,0,same_bs
1002,online_dqn,3,1,77,2,2,2,0.054642,0.224773,0.224773,0.000000,-5.429040,-5.721432,-2.952738,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054782,0.020636,0.019518,0.003224,0.000000,0,same_bs
1002,online_dqn,3,2,34,2,2,2,0.054645,0.224773,0.224773,0.000000,-5.429038,-5.721433,-2.952739,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054781,0.020636,0.019518,0.003224,0.000000,0,same_bs
1002,online_dqn,3,3,58,2,2,2,0.054645,0.224773,0.224773,0.000000,-5.429038,-5.721433,-2.952739,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054781,0.020636,0.019518,0.003224,0.000000,0,same_bs
1002,online_dqn,3,4,64,2,2,2,0.054645,0.224773,0.224773,0.000000,-5.429038,-5.721433,-2.952739,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054781,0.020636,0.019518,0.003224,0.000000,0,same_bs
1002,online_dqn,3,5,79,2,2,2,0.054645,0.224773,0.224773,0.000000,-5.429037,-5.721433,-2.952739,0,29,23,28,95.166700,79.833300,57.333300,0.715301,0.396367,0.054781,0.020636,0.019518,0.003224,0.000000,0,same_bs
